#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
45.0,Aug 105:03 PM,Long Island,Hagerstown,6-15,"Imhoff, A","Melville, T",final|,45,44,0.636,0.0
45.0,Jul 317:00 PM,Lancaster,York,9-6,"Bremer, N","Vallimont, C",final|,46,44,0.0,0.364
45.0,Aug  76:48 PM,Hagerstown,Lancaster,1-4,"Brennan, T","Martinez, Q",final|,48,44,0.0,0.0
46.0,Aug 156:40 PM,York,S Maryland,4-7,"Carr, J","Miranda, K",final|,40,46,0.364,
46.0,Aug 126:48 PM,Gastonia,Lexington,6-7,"Loper, J","Benoit, D",final|,43,46,0.0,0.0
46.0,Aug 156:47 PM,Staten Island,Lancaster,0-3,"Brennan, T","Peralta, O",final|,46,45,0.0,0.0
46.0,Aug 126:33 PM,Staten Island,Hagerstown,4-2,"Mack, A","Martinez, Q",final|,47,45,0.0,0.0
46.0,Aug 126:36 PM,York,Long Island,7-5,"Kickham, M","Flores, B",final|,41,46,0.364,0.636
46.0,Aug  56:46 PM,Charleston,Gastonia,3-6,"Underwood Jr., D","Reyes, S",final|,40,46,0.0,0.0
46.0,Aug  56:31 PM,Long Island,York,5-4,"Clenney, N","Mikolajchak, N",final|,46,45,0.636,0.364
46.0,Aug  16:42 PM,York,Charleston,1-2,"Lebron, D","Miranda, K",final|,42,46,0.364,0.0
46.0,Aug  810:31 AM,Lancaster,Staten Island,8-4,"Johnson, K","Scott, W",final|,47,46,0.0,0.0
46.0,Aug 196:40 PM,Lexington,High Point,3-5,"Klobosits, G","Gregersen, S",final|,47,46,0.0,1.0
47.0,Aug 136:32 PM,Staten Island,Hagerstown,8-9,"Kelly, R","Snead, K",final|,48,46,0.0,0.0
47.0,Aug  612:30 PM,Charleston,Gastonia,2-6,"Wilson, J","Diaz, A",final|,41,47,0.0,0.0
47.0,Aug 206:34 PM,Lexington,High Point,9-11,"Scolaro, J","Lynch, J",final|,48,47,0.0,1.0
47.0,Aug  96:38 PM,Lancaster,Staten Island,10-6,"Skirrow, N","Peralta, O",final|,48,47,0.0,0.0
47.0,Aug  66:30 PM,Long Island,York,,,,"Postponed to:Aug 07, 04:00 PM",47,46,0.636,0.364
47.0,Aug 136:36 PM,York,Long Island,1-4,"Hillman, J","Vallimont, C",final|,43,47,0.364,0.636
47.0,Aug 166:38 PM,York,S Maryland,7-5,"Thurman, G","Miller, J",final|,44,47,0.364,
47.0,Aug  26:38 PM,York,Charleston,7-2,"Firoved, E","Hill, J",final|,45,47,0.364,0.0
47.0,Aug 166:52 PM,Staten Island,Lancaster,12-23,"McAvene, M","Kehoe, R",final|,49,46,0.0,0.0
47.0,Aug 138:08 PM,Gastonia,Lexington,10-7,"Hennen, R","Wicklander, P",final|,44,47,0.0,0.0
48.0,Aug 146:48 PM,Gastonia,Lexington,2-6,"Lambert, C","Hasler, K",final|,45,48,0.0,0.0
48.0,Aug 172:07 PM,York,S Maryland,14-4,"Kickham, M","Chatham, C",final|,46,48,0.364,
48.0,Aug 146:37 PM,York,Long Island,6-3,"Churchill, I","Romano, S",final|,47,48,0.364,0.636
48.0,Aug 146:30 PM,Staten Island,Hagerstown,0-4,"Henriquez, J","Scott, W",final|,50,47,0.0,0.0
48.0,Aug 216:36 PM,Lexington,High Point,1-5,"Wereski, B","Laio, N",final|,49,48,0.0,1.0
48.0,Aug  76:40 PM,Long Island,York,10-4,"Nelson, B","Thurman, G",final|,48,47,0.636,0.364
48.0,Aug 101:33 PM,Lancaster,Staten Island,3-2,"McAvene, M","Kehoe, R",final|,49,48,0.0,0.0
48.0,Aug 172:03 PM,Staten Island,Lancaster,3-11,"Bremer, N","Mack, A",final|,51,47,0.0,0.0
48.0,Aug  76:31 PM,Charleston,Gastonia,8-11,"King, T","Lebron, D",final|,42,48,0.0,0.0
48.0,Aug  33:10 PM,York,Charleston,2-13,"Demurias, E","Sanabia, A",final|,48,48,0.364,0.0
49.0,Aug 126:39 PM,High Point,Charleston,8-4,"Uelmen, E","Diaz, A",final|,49,49,1.0,0.0
49.0,Aug 196:49 PM,Long Island,Lancaster,4-3,"Santos, R","Engler, S",final|,49,48,0.636,0.0
49.0,Aug  87:00 PM,Charleston,Gastonia,4-6,"Hartman, M","Hill, J",final|,43,49,0.0,0.0
49.0,Aug 156:35 PM,Hagerstown,Long Island,0-9,"Alintoff, J","Imhoff, A",final|,49,49,0.0,0.636
49.0,Aug  86:37 PM,Lexington,York,3-7,"Vallimont, C","Beggs, D",final|,50,48,0.0,0.364
49.0,Aug 196:33 PM,Charleston,Staten Island,3-1,"Lebron, D","Kaminsky, R",final|,44,49,0.0,0.0
