#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore
39,Jul 274:05 PM,Gastonia,High Point,,,,High Point
43,Jul 296:30 PM,Lancaster,York,,,,York
40,Jul 296:30 PM,Gastonia,Hagerstown,,,,Hagerstown
43,Jul 296:35 PM,S Maryland,Charleston,,,,Charleston
40,Jul 296:35 PM,Staten Island,Long Island,,,,Long Island
40,Jul 296:45 PM,High Point,Lexington,,,,Lexington
41,Jul 3011:00 AM,Gastonia,Hagerstown,,,,Hagerstown
41,Jul 3011:05 AM,Staten Island,Long Island,,,,Long Island
44,Jul 306:30 PM,Lancaster,York,,,,York
44,Jul 306:35 PM,S Maryland,Charleston,,,,Charleston
41,Jul 306:45 PM,High Point,Lexington,,,,Lexington
45,Jul 316:30 PM,Lancaster,York,,,,York
42,Jul 316:30 PM,Gastonia,Hagerstown,,,,Hagerstown
45,Jul 316:35 PM,S Maryland,Charleston,,,,Charleston
42,Jul 316:35 PM,Staten Island,Long Island,,,,Long Island
42,Jul 316:45 PM,High Point,Lexington,,,,Lexington
40,Aug  16:35 PM,Gastonia,S Maryland,,,,Regency Furn.
46,Aug  16:35 PM,York,Charleston,,,,Charleston
43,Aug  16:35 PM,Hagerstown,Long Island,,,,Long Island
40,Aug  16:45 PM,Staten Island,Lancaster,,,,Penn Medicine
43,Aug  17:00 PM,High Point,Lexington,,,,Lexington
47,Aug  26:35 PM,York,Charleston,,,,Charleston
41,Aug  26:35 PM,Gastonia,S Maryland,,,,Regency Furn.
44,Aug  26:35 PM,Hagerstown,Long Island,,,,Long Island
41,Aug  26:45 PM,Staten Island,Lancaster,,,,Penn Medicine
44,Aug  27:00 PM,High Point,Lexington,,,,Lexington
42,Aug  32:00 PM,Staten Island,Lancaster,,,,Penn Medicine
45,Aug  32:00 PM,High Point,Lexington,,,,Lexington
42,Aug  32:05 PM,Gastonia,S Maryland,,,,Regency Furn.
48,Aug  33:04 PM,York,Charleston,,,,Charleston
45,Aug  35:05 PM,Hagerstown,Long Island,,,,Long Island
46,Aug  56:30 PM,Charleston,Gastonia,,,,Gastonia
46,Aug  56:30 PM,Long Island,York,,,,York
43,Aug  56:30 PM,Lexington,Staten Island,,,,Staten Island
40,Aug  56:35 PM,S Maryland,High Point,,,,High Point
43,Aug  56:45 PM,Hagerstown,Lancaster,,,,Penn Medicine
47,Aug  612:30 PM,Charleston,Gastonia,,,,Gastonia
44,Aug  66:30 PM,Lexington,Staten Island,,,,Staten Island
47,Aug  66:30 PM,Long Island,York,,,,York
41,Aug  66:35 PM,S Maryland,High Point,,,,High Point
44,Aug  66:45 PM,Hagerstown,Lancaster,,,,Penn Medicine
48,Aug  76:30 PM,Charleston,Gastonia,,,,Gastonia
48,Aug  76:30 PM,Long Island,York,,,,York
45,Aug  76:30 PM,Lexington,Staten Island,,,,Staten Island
42,Aug  76:35 PM,S Maryland,High Point,,,,High Point
45,Aug  76:45 PM,Hagerstown,Lancaster,,,,Penn Medicine
46,Aug  810:30 AM,Lancaster,Staten Island,,,,Staten Island
49,Aug  86:30 PM,Lexington,York,,,,York
43,Aug  86:30 PM,Long Island,Hagerstown,,,,Hagerstown
43,Aug  86:35 PM,S Maryland,High Point,,,,High Point
49,Aug  87:00 PM,Charleston,Gastonia,,,,Gastonia
44,Aug  96:00 PM,Long Island,Hagerstown,,,,Hagerstown
47,Aug  96:30 PM,Lancaster,Staten Island,,,,Staten Island
50,Aug  96:30 PM,Lexington,York,,,,York
44,Aug  96:35 PM,S Maryland,High Point,,,,High Point
50,Aug  97:00 PM,Charleston,Gastonia,,,,Gastonia
51,Aug 101:00 PM,Lexington,York,,,,York
48,Aug 101:30 PM,Lancaster,Staten Island,,,,Staten Island
51,Aug 104:00 PM,Charleston,Gastonia,,,,Gastonia
45,Aug 104:05 PM,S Maryland,High Point,,,,High Point
45,Aug 105:00 PM,Long Island,Hagerstown,,,,Hagerstown
46,Aug 126:30 PM,Staten Island,Hagerstown,,,,Hagerstown
49,Aug 126:35 PM,High Point,Charleston,,,,Charleston
43,Aug 126:35 PM,Lancaster,S Maryland,,,,Regency Furn.
46,Aug 126:35 PM,York,Long Island,,,,Long Island
46,Aug 126:45 PM,Gastonia,Lexington,,,,Lexington
50,Aug 1312:05 PM,High Point,Charleston,,,,Charleston
47,Aug 136:30 PM,Staten Island,Hagerstown,,,,Hagerstown
44,Aug 136:35 PM,Lancaster,S Maryland,,,,Regency Furn.
47,Aug 136:35 PM,York,Long Island,,,,Long Island
47,Aug 136:45 PM,Gastonia,Lexington,,,,Lexington
48,Aug 146:30 PM,Staten Island,Hagerstown,,,,Hagerstown
51,Aug 146:35 PM,High Point,Charleston,,,,Charleston
45,Aug 146:35 PM,Lancaster,S Maryland,,,,Regency Furn.
48,Aug 146:35 PM,York,Long Island,,,,Long Island
48,Aug 146:45 PM,Gastonia,Lexington,,,,Lexington
52,Aug 156:35 PM,High Point,Charleston,,,,Charleston
46,Aug 156:35 PM,York,S Maryland,,,,Regency Furn.
49,Aug 156:35 PM,Hagerstown,Long Island,,,,Long Island
46,Aug 156:45 PM,Staten Island,Lancaster,,,,Penn Medicine
49,Aug 157:00 PM,Gastonia,Lexington,,,,Lexington
53,Aug 166:35 PM,High Point,Charleston,,,,Charleston
47,Aug 166:35 PM,York,S Maryland,,,,Regency Furn.
50,Aug 166:35 PM,Hagerstown,Long Island,,,,Long Island
47,Aug 166:45 PM,Staten Island,Lancaster,,,,Penn Medicine
50,Aug 167:00 PM,Gastonia,Lexington,,,,Lexington
51,Aug 172:00 PM,Gastonia,Lexington,,,,Lexington
48,Aug 172:00 PM,Staten Island,Lancaster,,,,Penn Medicine
48,Aug 172:05 PM,York,S Maryland,,,,Regency Furn.
54,Aug 173:04 PM,High Point,Charleston,,,,Charleston
51,Aug 175:05 PM,Hagerstown,Long Island,,,,Long Island
49,Aug 196:30 PM,Charleston,Staten Island,,,,Staten Island
52,Aug 196:30 PM,Hagerstown,York,,,,York
46,Aug 196:35 PM,Lexington,High Point,,,,High Point
49,Aug 196:35 PM,Gastonia,S Maryland,,,,Regency Furn.
49,Aug 196:45 PM,Long Island,Lancaster,,,,Penn Medicine
50,Aug 206:30 PM,Charleston,Staten Island,,,,Staten Island
53,Aug 206:30 PM,Hagerstown,York,,,,York
47,Aug 206:35 PM,Lexington,High Point,,,,High Point
50,Aug 206:35 PM,Gastonia,S Maryland,,,,Regency Furn.
50,Aug 206:45 PM,Long Island,Lancaster,,,,Penn Medicine
51,Aug 216:30 PM,Charleston,Staten Island,,,,Staten Island
54,Aug 216:30 PM,Hagerstown,York,,,,York
48,Aug 216:35 PM,Lexington,High Point,,,,High Point
51,Aug 216:35 PM,Gastonia,S Maryland,,,,Regency Furn.
51,Aug 216:45 PM,Long Island,Lancaster,,,,Penn Medicine
49,Aug 226:30 PM,Long Island,Hagerstown,,,,Hagerstown
55,Aug 226:30 PM,Charleston,York,,,,York
49,Aug 226:35 PM,Lexington,High Point,,,,High Point
52,Aug 227:00 PM,Lancaster,Gastonia,,,,Gastonia
52,Aug 227:00 PM,S Maryland,Staten Island,,,,Staten Island
50,Aug 236:00 PM,Long Island,Hagerstown,,,,Hagerstown
56,Aug 236:30 PM,Charleston,York,,,,York
53,Aug 236:30 PM,S Maryland,Staten Island,,,,Staten Island
50,Aug 236:35 PM,Lexington,High Point,,,,High Point
53,Aug 237:00 PM,Lancaster,Gastonia,,,,Gastonia
57,Aug 241:00 PM,Charleston,York,,,,York
54,Aug 241:30 PM,S Maryland,Staten Island,,,,Staten Island
51,Aug 242:00 PM,Long Island,Hagerstown,,,,Hagerstown
54,Aug 244:00 PM,Lancaster,Gastonia,,,,Gastonia
51,Aug 244:05 PM,Lexington,High Point,,,,High Point
52,Aug 266:30 PM,Lancaster,Hagerstown,,,,Hagerstown
52,Aug 266:35 PM,Charleston,High Point,,,,High Point
52,Aug 266:35 PM,Staten Island,S Maryland,,,,Regency Furn.
52,Aug 266:35 PM,York,Long Island,,,,Long Island
52,Aug 266:45 PM,Gastonia,Lexington,,,,Lexington
53,Aug 276:30 PM,Lancaster,Hagerstown,,,,Hagerstown
53,Aug 276:35 PM,Charleston,High Point,,,,High Point
53,Aug 276:35 PM,Staten Island,S Maryland,,,,Regency Furn.
53,Aug 276:35 PM,York,Long Island,,,,Long Island
53,Aug 276:45 PM,Gastonia,Lexington,,,,Lexington
54,Aug 286:30 PM,Lancaster,Hagerstown,,,,Hagerstown
54,Aug 286:35 PM,Charleston,High Point,,,,High Point
54,Aug 286:35 PM,Staten Island,S Maryland,,,,Regency Furn.
54,Aug 286:35 PM,York,Long Island,,,,Long Island
54,Aug 286:45 PM,Gastonia,Lexington,,,,Lexington
55,Aug 296:30 PM,High Point,Hagerstown,,,,Hagerstown
55,Aug 296:35 PM,Gastonia,Charleston,,,,Charleston
55,Aug 296:35 PM,Lexington,S Maryland,,,,Regency Furn.
55,Aug 296:35 PM,York,Long Island,,,,Long Island
52,Aug 296:45 PM,Staten Island,Lancaster,,,,Penn Medicine
56,Aug 306:00 PM,High Point,Hagerstown,,,,Hagerstown
56,Aug 306:35 PM,Gastonia,Charleston,,,,Charleston
56,Aug 306:35 PM,Lexington,S Maryland,,,,Regency Furn.
56,Aug 306:35 PM,York,Long Island,,,,Long Island
53,Aug 306:45 PM,Staten Island,Lancaster,,,,Penn Medicine
54,Aug 312:00 PM,Staten Island,Lancaster,,,,Penn Medicine
57,Aug 312:00 PM,High Point,Hagerstown,,,,Hagerstown
57,Aug 312:05 PM,Lexington,S Maryland,,,,Regency Furn.
57,Aug 313:04 PM,Gastonia,Charleston,,,,Charleston
57,Aug 315:05 PM,York,Long Island,,,,Long Island
55,Sep  26:30 PM,Long Island,Gastonia,,,,Gastonia
55,Sep  26:35 PM,S Maryland,High Point,,,,High Point
55,Sep  26:45 PM,York,Lancaster,,,,Penn Medicine
55,Sep  26:45 PM,Charleston,Lexington,,,,Lexington
56,Sep  312:30 PM,Long Island,Gastonia,,,,Gastonia
55,Sep  36:30 PM,Hagerstown,Staten Island,,,,Staten Island
56,Sep  36:35 PM,S Maryland,High Point,,,,High Point
56,Sep  36:45 PM,York,Lancaster,,,,Penn Medicine
56,Sep  36:45 PM,Charleston,Lexington,,,,Lexington
56,Sep  44:00 PM,Hagerstown,Staten Island,,,,Staten Island
57,Sep  46:30 PM,Long Island,Gastonia,,,,Gastonia
57,Sep  46:35 PM,S Maryland,High Point,,,,High Point
57,Sep  46:45 PM,York,Lancaster,,,,Penn Medicine
57,Sep  46:45 PM,Charleston,Lexington,,,,Lexington
57,Sep  47:00 PM,Hagerstown,Staten Island,,,,Staten Island
58,Sep  56:30 PM,Lancaster,York,,,,York
58,Sep  56:35 PM,Long Island,High Point,,,,High Point
58,Sep  57:00 PM,Hagerstown,Staten Island,,,,Staten Island
58,Sep  57:00 PM,S Maryland,Gastonia,,,,Gastonia
58,Sep  57:00 PM,Charleston,Lexington,,,,Lexington
59,Sep  66:30 PM,Lancaster,York,,,,York
59,Sep  66:30 PM,Hagerstown,Staten Island,,,,Staten Island
59,Sep  66:35 PM,Long Island,High Point,,,,High Point
