Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,R_from_100,RBI_from_80,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
close,ALPB- 2024,33927,High Point Rockers,163529,"Aklinski, B",1695413,.247,94,118,20,1,29,92,66,123,29,-6.0,12.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=33927,478,2,7,1,125,19,OF,5,0
close,ALPB- 2024,33927,York Revolution,3614,"Washington, D",1698555,.260,84,106,26,0,35,96,46,198,19,-16.0,16.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927,408,4,4,7,104,4,IF,4,0
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Wylie, J",1697020,.249,93,106,20,2,34,84,76,105,25,-7.0,4.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,426,6,14,8,120,3,IF,6,2
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Stowers, J",1696445,.301,91,120,24,2,17,73,54,75,49,-9.0,-7.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,399,7,13,1,105,9,OF,6,0
close,ALPB- 2018,31284,York Revolution,3614,"Mesa, M",1230368,.337,85,129,24,4,20,89,24,88,2,-15.0,9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=31284,383,0,8,0,100,7,OF,7,0
close,ALPB- 2018,31284,Lancaster Barnstormers,3613,"Gailen, B",290236,.282,80,125,18,0,28,91,72,82,14,-20.0,11.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=31284,444,10,7,3,126,2,OF,8,0
close,ALPB- 2017,30757,York Revolution,3614,"Harris, A",621744,.315,89,145,28,1,23,73,48,95,31,-11.0,-7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=30757,460,13,6,12,114,3,OF,3,2
close,ALPB- 2016,30100,Long Island Ducks,3609,"Lentini, F",582166,.313,108,179,42,6,9,75,38,80,51,8.0,-5.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=30100,571,5,12,2,140,10,OF,5,6
close,ALPB- 2016,30100,Sugar Land Skeeters,34136,"Barfield, J",816676,.306,87,156,31,2,27,85,62,108,2,-13.0,5.0,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=30100,510,2,9,8,135,6,OF,8,0
close,ALPB- 2014,28163,York Revolution,3614,"Patterson, E",434764,.301,94,150,35,17,15,86,66,103,26,-6.0,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=28163,498,2,6,7,132,4,IF,6,2
close,ALPB- 2014,28163,Lancaster Barnstormers,3613,"Garner, C",612859,.313,84,166,38,5,26,92,28,114,18,-16.0,12.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=28163,530,1,9,4,132,13,OF,6,2
close,ALPB- 2014,28163,Southern Maryland Blue Crabs,3608,"Opitz, J",585898,.282,83,136,24,4,18,78,43,86,8,-17.0,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=28163,482,3,9,13,129,3,2B,7,2
close,ALPB- 2013,21966,Somerset Patriots,3604,"Smith, C",367788,.269,82,138,29,0,20,84,45,85,11,-18.0,4.0,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=21966,513,1,14,27,133,8,IF,12,0
close,ALPB- 2012,12585,Lancaster Barnstormers,3613,"Lentini, F",582166,.319,98,172,36,2,19,92,30,83,32,-2.0,12.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585,539,8,19,5,136,7,OF,6,1
close,ALPB- 2012,12585,York Revolution,3614,"Nowak, C",151949,.285,81,132,28,1,34,107,71,87,10,-19.0,27.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=12585,463,3,9,18,129,11,IF,3,0
close,ALPB- 2012,12585,Lancaster Barnstormers,3613,"Gailen, B",290236,.338,94,169,26,3,22,89,68,75,25,-6.0,9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585,500,6,13,3,134,3,OF,7,1
close,ALPB- 2012,12585,York Revolution,3614,"Perez, A",288351,.314,86,161,35,3,23,86,45,55,4,-14.0,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=12585,512,1,12,13,132,5,2B,3,1
close,ALPB- 2012,12585,Camden Riversharks,3610,"Burgamy, B",1127208,.294,84,134,29,1,20,81,80,92,8,-16.0,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=12585,456,4,9,18,126,10,3B,2,0
close,ALPB - 2011,540,Lancaster Barnstormers,3613,"Everidge, T",128903,.319,94,160,41,0,28,94,52,89,1,-6.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=540,501,0,9,14,125,6,1B,5,0
close,ALPB - 2011,540,Long Island Ducks,3609,"Navarrete, R",127672,.242,86,119,20,0,27,79,54,95,0,-14.0,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=540,492,4,15,17,122,14,OF,5,0
close,ALPB - 2011,540,Bridgeport Bluefish,3611,"Moss, S",45553,.295,82,130,27,4,19,70,59,93,20,-18.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=540,441,5,4,2,120,7,OF,3,1
close,ALPB - 2010,249,Lancaster Barnstormers,3613,"Herr, A",45648,.321,91,163,35,0,23,103,37,110,4,-9.0,23.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249,508,2,15,17,127,4,3B,3,0
close,ALPB - 2010,249,York Revolution,3614,"Shanks, J",375161,.325,91,172,29,4,19,86,23,82,14,-9.0,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=249,530,2,18,11,131,4,OF,8,2
close,ALPB - 2010,249,Lancaster Barnstormers,3613,"Nelson, B",45649,.288,84,158,28,0,22,91,36,43,4,-16.0,11.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249,549,7,14,28,135,1,SS,6,7
close,ALPB - 2010,249,Bridgeport Bluefish,3611,"Moss, S",45553,.321,88,143,24,8,22,83,56,89,5,-12.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249,446,3,10,5,115,7,OF,6,1
close,ALPB - 2010,249,York Revolution,3614,"Castro, R",49822,.339,81,141,37,2,8,85,67,60,2,-19.0,5.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=249,416,2,21,8,109,10,IF,6,0
close,ALPB - 2010,249,Long Island Ducks,3609,"Esquivel, M",45571,.281,85,132,28,3,17,78,55,109,11,-15.0,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=249,469,4,16,6,127,2,OF,4,1
