season,season_id,division,team,team_id,team_url
ALPB- 2018,31284,Liberty,Road Warriors,133094,https://baseball.pointstreak.com/team_home.html?teamid=133094&seasonid=31284
ALPB- 2018,31284,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=31284
Playoffs 2017,31257,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=31257
Playoffs 2017,31257,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=31257
Playoffs 2017,31257,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=31257
Playoffs 2017,31257,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=31257
All Star Game 2017,31063,All-Star,Freedom Division,127990,https://baseball.pointstreak.com/team_home.html?teamid=127990&seasonid=31063
All Star Game 2017,31063,All-Star,Liberty Division,127991,https://baseball.pointstreak.com/team_home.html?teamid=127991&seasonid=31063
2017 Spring Training,30889,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=30889
2017 Spring Training,30889,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=30889
2017 Spring Training,30889,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=30889
2017 Spring Training,30889,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=30889
2017 Spring Training,30889,Liberty,Bridgeport Bluefish,3611,https://baseball.pointstreak.com/team_home.html?teamid=3611&seasonid=30889
2017 Spring Training,30889,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=30889
2017 Spring Training,30889,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=30889
2017 Spring Training,30889,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=30889
2017 Spring Training,30889,Non-ALPB,Long Island Black Sox,124718,https://baseball.pointstreak.com/team_home.html?teamid=124718&seasonid=30889
2017 Spring Training,30889,Non-ALPB,Milford Hunters,124721,https://baseball.pointstreak.com/team_home.html?teamid=124721&seasonid=30889
ALPB- 2017,30757,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=30757
ALPB- 2017,30757,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=30757
ALPB- 2017,30757,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=30757
ALPB- 2017,30757,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=30757
ALPB- 2017,30757,Liberty,Bridgeport Bluefish,3611,https://baseball.pointstreak.com/team_home.html?teamid=3611&seasonid=30757
ALPB- 2017,30757,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=30757
ALPB- 2017,30757,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=30757
ALPB- 2017,30757,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=30757
